id.establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad;superficie (m2)
335;Valefyr S.A.;Ecomarket 3;Santa Ana 4108;11;Cerrito;5;Red Expres;-34,85046647;-56,17966021;Montevideo;Montevideo;1;1020;680
336;Verylond S.A.;Supermercado Unicentro;Veraguas 1907;12;Lezica ;8;Sin Cadena;-34,79516932;-56,24969501;Montevideo;Montevideo;1;1020;
337;Pronto Todo S.R.L.;Red Market 5;Ruta 8 km 21 Nº 11152;9;Villa García;3;Red Market;-34,7762695;-56,0499384;Montevideo;Montevideo;1;1020;500
338;Cafanor S.A.;Super Planeta I;Avda. Gral. Rivera 2348;2;Cordón;4;Planeta;-34,90215732;-56,16505861;Montevideo;Montevideo;1;1020;325
339;Alencur S.A.;Supermercado Zum Felde;A. Zum Felde 2063;8;Malvín;4;Sin Cadena;-34,88076115;-56,09914384;Montevideo;Montevideo;1;1020;238
340;Maresca  SRL.;Maresca;Dr. Francisco Simón  2148;6;La Blanqueada;4;Sin Cadena;-34,8867848;-56,14525182;Montevideo;Montevideo;1;1020;350
341;Teribán S.A.;Super Comva;Corrales 3546;11;Ituzaingó;4;Red Expres;-34,85099548;-56,14829219;Montevideo;Montevideo;1;1020;300
342;Bekemar  S.A.;Supermercado Planeta;Andes 1427;1;Centro;6;Sin Cadena;-34,90501002;-56,19845419;Montevideo;Montevideo;1;1020;
343;Cooperativa Municipal;Supermercado MC;Santiago de Chile 1242;2;Barrio Sur;4;Sin Cadena;-34,90750807;-56,18478832;Montevideo;Montevideo;1;1020;
344;Bidenux  S.A.;Super Continente;Avda. José Belloni 4752;10;Sayago;4;Sin Cadena;-34,81716494;-56,13891612;Montevideo;Montevideo;1;1020;
345;Fadoríl S.A.;Nativo;Avda. Gral. Eugenio Garzón 223;14;Belvedere;3;Sin Cadena;-34,84990542;-56,22386044;Montevideo;Montevideo;1;1020;350
346;MADEBIL  S.A.;Red Market 13;Av.  Italia  3896;;Malvín;3;Red Market;-34,8872563;-56,1265762;Montevideo;Montevideo;1;1020;202
347;Lamader S.A.;Super Del Fuerte;Del Fuerte 5302;9;Maroñas;4;Red Expres;-34,85199194;-56,11787889;Montevideo;Montevideo;1;1020;366
348;Orefal S.A.;Supermercado El Tío 1;Avda. Gral. Garibaldi 2511;4;La Blanqueada;4;Red Expres;-34,88561022;-56,16446584;Montevideo;Montevideo;1;1020;500
349;Garcia Santoro;Red Market 10-Grias;Avda. Lezica 6309;12;Colón;3;Red Market;-34,79738532;-56,2472794;Montevideo;Montevideo;1;1020;
350;Graciela y Jose Meijón Ltda.;Supermercado Meijón;Avda. Dr. Luis A. de Herrera 3117;4;La Blanqueada;3;Sin Cadena;-34,87278179;-56,16175448;Montevideo;Montevideo;1;1020;250
351;La Barra Ltda.;Red Market 9-La Barra;Avda. Luis Batlle Berres 230;18;Paso de la Arena;3;Red Market;-34,7886806;-56,35326733;Montevideo;Montevideo;1;1020;
352;Antonio Ameijenda;Red Market 1-Super Totis;Camino Durán 5986;12;Colón ;3;Red Market;-34,7988313;-56,22721328;Montevideo;Montevideo;1;1020;300
353;Palticor S.A.;Supermercado Los 33;Camino Carrasco 4675;9;Malvín;4;Sin Cadena;-34,87136479;-56,11660032;Montevideo;Montevideo;1;1020;
354;Piaggio Mazzali SRL.;La Bohemia 1;Juan Lavalle  551;15;Prado ;2;Sin Cadena;-34,85149227;-56,20638667;Montevideo;Montevideo;1;1020;
355;Radelcor S.A.;Supersol;Orinoco 4888;7;Malvín;5;Sin Cadena;-34,89599562;-56,10139832;Montevideo;Montevideo;1;1020;381
356;Super Ocasión SRL.;Super Ocasión;Francisco Sainz Rosas 4750;9;Jardines del Hipódromo;3;Sin Cadena;-34,85258251;-56,1425173;Montevideo;Montevideo;1;1020;200
357;Super Nuevo Paris SRL.;Super Nuevo Paris;Yugoslavia 899;14;Nuevo París;3;Red Expres;-34,838363;-56,2416141;Montevideo;Montevideo;1;1020;
358;Tedocán S.A.;Super Copact;Juan Paullier 984;2;Parque Rodó;2;Sin Cadena;-34,9109697;-56,1690976;Montevideo;Montevideo;1;1020;
359;Tedocán S.A.;Super Copact;Avda. Agraciada 3199;16;Bella Vista;2;Sin Cadena;;;Montevideo;Montevideo;1;1020;
360;Cooperativa Fuerzas Armadas;COFAS;Eduardo Víctor Haedo 2258;2;Tres Cruces;6;Sin Cadena;-34,89723137;-56,16712218;Montevideo;Montevideo;1;1020;7545
361;Carnicería Marymar  Ltda.;Carnicería Marymar;Avda. Agraciada 4271 A;14;Belvedere;3;Sin Cadena;-34,85562468;-56,22146277;Montevideo;Montevideo;1;1020;
362;KRINORD S.A.;Liro 2;Mercedes 1782;2;Cordón;2;Sin Cadena;-34,9010163;-56,1809895;Montevideo;Montevideo;1;1020;
363;Banedil S.A.;Adonis;Juan Antonio Artigas 4120;14;Paso Molino;4;Los Jardines;-34,8576249;-56,21797252;Montevideo;Montevideo;1;1020;
364;Fabegold S.A.;Super Tico - Fabegold;Avda. 8 de Octubre 3090;4;La Blanqueada;3;Super Tico;-34,88209464;-56,1525954;Montevideo;Montevideo;1;1020;231
365;Baltimar S.A.;Frigorey;A. Zum Felde 2047;8;Malvín;4;Sin Cadena;-34,88101102;-56,09893848;Montevideo;Montevideo;1;1020;430
366;Rodalir S.A.;Super Ariel 3;Avda. Dr. Luis A. de Herrera 2854;4;Larrañaga;3;Red Expres;-34,87661006;-56,15702426;Montevideo;Montevideo;1;1020;189
367;CYR Ltda.;Supermercado Gonzalito;Pérez Castellanos 1478;1;Ciudad Vieja;3;Sin Cadena;-34,9070175;-56,21058958;Montevideo;Montevideo;1;1020;400
368;Solvencia S.A.;Supermercado Don Paulino;Avda. Daniel Fernández Crespo 1685;2;Cordón;4;Sin Cadena;-34,89954592;-56,17691309;Montevideo;Montevideo;1;1020;10
370;Prisma Alimentos & Cia. S.A.;Prisma Alimentos;Avda. Gral. Flores 3327;3;Brazo Oriental;4;Red Expres;-34,86711927;-56,17190544;Montevideo;Montevideo;1;1020;228
371;Cooperativa Magisterial de Consumo;COMAG;Colonia 1730;2;Cordón;5;Sin Cadena;-34,90294547;-56,17909436;Montevideo;Montevideo;1;1020;629
372;Gamabel S.A.;La Bohemia 2;Avda. Millán 4351;11;Prado ;2;Sin Cadena;-34,8453945;-56,20374016;Montevideo;Montevideo;1;1020;280
373;Rochatel S.A.;Supermercado Ruta 9;Sagitario s/n;;Interior;4;Sin Cadena;-34,6563191;-54,1675108;La Paloma;Rocha;14;14722;20
374;Plaza Uno SRL.;Plaza Uno;Viera 86;;Interior;3;Sin Cadena;-31,38674601;-57,96089568;Salto;Salto;15;15120;
375;Carlos E. Zunini y Cia.;Zunimercado;19 de Abril 1897;;Interior;5;Sin Cadena;-31,38694749;-57,95020691;Salto;Salto;15;15120;
376;ADUMEL S.A.;Supermercado Bastion;SARANDI 443;;Interior;3;Sin Cadena;-34,34088444;-56,71267687;San José de Mayo;San José;16;16220;230
377;Opciones Quality S.A.;Supermercado Avenida Norte;Artigas s/n esq. Manuel de Rodríguez;;Interior;5;Red Expres;-34,33330689;-56,7175866;San José de Mayo;San José;16;16220;
378;Menarr SRL.;Autoservicio Peatonal;Asamblea 560;;Interior;3;Sin Cadena;-34,34019798;-56,71414966;San José de Mayo;San José;16;16220;
379;José María González SRL.;Supermercado Avenida Sur;Herrera 480 (Treinta y Tres esq. Herrera);;Interior;4;Red Expres;-34,34424147;-56,71361134;San José de Mayo;San José;16;16220;
381;Barlisol S.A.;El Manjar Express;18 de Julio 430;;Interior;3;Sin Cadena;-31,71839927;-55,98616806;Tacuarembó;Tacuarembó;18;18220;
383;LOLIFER S.A.;Frigo - Sayago ;Cno. Ariel 4835;;Sayago;6;Frigo;-34,8337195;-56,2187858;Montevideo;Montevideo;1;1020;370
385;ARDAL S.A.;SUPERMERCADO FENIX;Rondeau 2132 ;;Centro;3;Sin Cadena;-34,8908196;-56,1950466;Montevideo;Montevideo;1;1020;200
386;PILECOR S.A.;Super del Fuerte;Del Fuerte 5302;9;Maroñas;4;Red Expres;-34,8519552;-56,1176727;Montevideo;Montevideo;3;3959;290
398;Polakof  y Cía.  S.A.;El Dorado - Rocha Ruta;Ruta 9 Km. 207;;Interior;3;El Dorado;-34,4793447;-54,3496328;Rocha;Rocha;14;14320;384
399;Polakof  y Cía.  S.A.;El Dorado - Florencio Sánchez ;Florencio Sanchez 150 ;;Interior;3;El Dorado;-34,479346;-54,3332175;Rocha;Rocha;14;14320;274
415;Ta-Ta SA;Ta - Ta - Hiper Salto II;Grito de Ascencio 1499;;Interior;10;Ta - Ta;-31,3728624;-57,9672763;Salto;Salto;15;15120;
416;Obacor S.A.;Supercoco;Cesar Mayo Gutierrez S/N;;Interior;5;Sin Cadena;-34,7567721;-56,2361593;La Paz;Canelones;3;3321;
419;Ta-Ta SA;Ta - Ta Mercado Agrícola;Jose L Terra 2220;;Goes;7;Ta - Ta;34,8867458;-56,1850919;Montevideo;Montevideo;1;1020;558
420;DALTIRO S.A.;El Clon - Rivera;33 Orientales 1060;;Interior;4;El Clon;-30,9006761;-55,5449124;Rivera;Rivera;13;13220;
421;DALTIRO S.A.;El Clon - Tranqueras;18 de Julio s/nº;;Interior;2;El Clon;-31,1656156;-55,7661092;Tranqueras;Rivera;13;13522;
422;EDANUR SA;Supermercado Abril;Av. Río de la Plata 131;;Interior;7;Sin Cadena;-34,7631664;-56,3982541;Ciudad del Plata;San José;16;16824;450
423;DALTIRO S.A.;El Clon - Nuevocentro;Luis Alberto de Herrera 3365 ;;Mercado Modelo;2;El Clon;-34,8698944;-56,1674027;Montevideo;Montevideo;1;1020;
428;DALTIRO S.A.;EL Clon - Costa Urbana;Av. Giannattassio 21 local 285;;Interior;1;El Clon;-34,8437977;-55,9985533;Ciudad de la Costa;Canelones;3;3831;297
429;Odaler S.A.;Hipermercado Géant ;Gualeguay 3350 006;;Brazo Oriental;34;Géant;-34,8679708;-56,1723261;Montevideo;Montevideo;1;1020;
430;Macromercado Mayorista S.A.;Macromercado Mayorista - Rivera;Julio M. Sosa 1726;;Interior;26;Macromercado Mayorista;-30,9211011;-55,5419035;Rivera;Rivera;13;13220;
432;Ageran SA;Supermercado El Tio II;Garibaldi 2876;;Parque Batlle ;4;Red Expres;-34,8904831;-56,1574807;Montevideo;Montevideo;1;1020;270
433;Polakof  y Cía.  S.A.;El Dorado - General Artigas;Gral. Artigas  1069;;Interior;8;El Dorado;-34,4815129;-54,3349959;Rocha;Rocha;14;14320;
480;Polakof  y Cía.  S.A.;El Dorado - Antares;Av. Nicolas Solari esq. Antares;;Interior;7;El Dorado;-34,6605601;-54,1565232;La Paloma;Rocha;14;14722;750
